Food_Ingredient,Category,Health_Label,Nutrition_Score,Remarks
Monosodium glutamate variant 587 variant 345,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Ammonium citrate variant 393 variant 576,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Sodium tartrate,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Artificial flavoring variant 19 variant 38,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Hydrogenated oil variant 29,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Defoamer variant 572,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Xanthan gum variant 138 variant 250 variant 212,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Ferric pyrophosphate variant 175,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Lemon juice concentrate variant 381 variant 871 variant 793 variant 251,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Mustard oil variant 655 variant 609 variant 190 variant 866,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sodium benzoate variant 159 variant 530,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Cardamom variant 219 variant 195 variant 232 variant 329,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Sodium aluminosilicate variant 282 variant 626 variant 668 variant 626,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Beta carotene variant 82,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Turmeric oleoresin variant 956 variant 342 variant 114,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Monosodium glutamate variant 998 variant 882,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Ginger variant 728,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Bleaching agent variant 570,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Ginger extract variant 44 variant 513 variant 12,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Riboflavin variant 275 variant 624 variant 147,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Almonds variant 433,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Polydextrose variant 791 variant 819,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Sodium caseinate,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Defoamer,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Pectin variant 388,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Sodium benzoate variant 650 variant 150 variant 735,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Mannitol variant 786 variant 559,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sodium aluminosilicate variant 282 variant 626 variant 622 variant 862,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Butylated hydroxyanisole (BHA) variant 598,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Hydrogenated oil variant 375 variant 946 variant 73 variant 59 variant 181,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Propionate preservative variant 505,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Color Blue 1 variant 878 variant 406 variant 328,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Trans fat variant 702 variant 335,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Propylene glycol variant 925 variant 724,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Potassium sorbate solution,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Sodium aluminosilicate variant 282 variant 626 variant 622 variant 862 variant 212,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Sodium benzoate variant 159 variant 224 variant 971 variant 690,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Hydrogenated oil variant 375 variant 842,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Preservative 211,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Erythritol variant 666 variant 596,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Brown sugar variant 404 variant 101 variant 568,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Milk solids variant 101 variant 312 variant 86,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Cinnamon variant 937 variant 692 variant 995 variant 750 variant 716,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Ammonium bicarbonate variant 565 variant 909,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Sodium acetate variant 335 variant 760,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Ammonium bicarbonate variant 3,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Cardamom,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Acesulfame potassium variant 948,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Brown sugar variant 180 variant 860 variant 639 variant 828 variant 534,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Lemon juice concentrate variant 381 variant 871 variant 793 variant 282,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Dimethylpolysiloxane variant 170 variant 343 variant 456 variant 358,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Ferric pyrophosphate variant 175 variant 262,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Artificial butter flavor variant 510 variant 225 variant 620 variant 420,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Color Red 40 variant 148 variant 688,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
High fructose corn syrup variant 764,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Himalayan pink salt variant 849 variant 620,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Niacinamide variant 547 variant 498 variant 502 variant 626,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Fig extract,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Defoamer variant 778,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Alkali treated cocoa variant 243,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Acesulfame potassium variant 948 variant 44 variant 47 variant 54 variant 858,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Fenugreek variant 200,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Ferric pyrophosphate variant 175 variant 262 variant 108,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Mustard oil variant 106,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Lotus seed powder variant 72,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Potassium nitrate variant 988 variant 160 variant 605 variant 666,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Acesulfame potassium variant 948 variant 44 variant 47 variant 627,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Mustard oil variant 655 variant 609,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Calcium disodium EDTA variant 845 variant 844,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Propylene glycol variant 925 variant 724 variant 120 variant 106,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Curry leaves variant 785 variant 636,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Ammonium citrate variant 858 variant 151,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Cocoa powder variant 744 variant 45,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Sodium citrate variant 203 variant 532 variant 305 variant 961 variant 953 variant 605,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Himalayan pink salt variant 153 variant 159,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Guar gum variant 68 variant 728 variant 207,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Potassium sorbate variant 716 variant 562 variant 626,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Paneer solids variant 458 variant 57 variant 116 variant 758,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Sodium nitrite variant 854 variant 345,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Disodium inosinate variant 755 variant 480 variant 663 variant 565,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Sodium benzoate variant 650 variant 655 variant 531 variant 416 variant 207 variant 519,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Pea protein variant 361,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Potassium sorbate variant 716 variant 562 variant 608 variant 665 variant 462,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Cumin variant 856 variant 930,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Artificial flavoring variant 63 variant 668,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Milk solids variant 369,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Cocoa powder variant 744,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Chickpea flour,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Flax seeds variant 853,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Chlorine dioxide,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Propylene glycol variant 925 variant 724 variant 120,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Artificial flavoring variant 19 variant 581,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Fenugreek variant 200 variant 768,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Niacinamide variant 547 variant 372,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Folic acid variant 811 variant 391 variant 149,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Oats,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Cocoa powder variant 744 variant 513,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Microcrystalline cellulose variant 411 variant 873 variant 538 variant 109,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Coconut sugar variant 769 variant 796 variant 875 variant 991 variant 626,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
